boleta,codigo_manzano,numero_hogar,municipio,distrito,barrio,otb,forma_de_residencia,tipo_de_vivienda,tenencia_de_la_vivienda,numero_miembros_en_el_hogar,persona_jefe,relacion_de_parentesco_13,jentrevistado,jefe_sexo,jefe_edad_anios,jefe_estado_civil,jefe_nivel_de_instruccion,jefe_ultimo_curso_aprobado,jefe_idioma_o_lengua_materna,jefe_departamento_de_nacimiento,jefe_provincia_de_nacimiento,jefe_municipio_de_nacimiento,jefe_localidad_de_nacimiento,jefe_pais_de_nacimiento,jefe_ciudad_de_nacimiento,jefe_departamento_de_residencia_2010,jefe_provincia_de_residencia_2010,jefe_municipio_de_residencia_2010,jefe_localidad_de_residencia_2010,jefe_pais_de_residencia_2010,jefe_ciudad_de_residencia,jefe_tiempo_de_residencia_anios,jefe_condicion_de_actividad,jefe_ocupacion_principal,jefe_categoria_ocupacional,jefe_rama_de_actividad,jefe_ocupacion_secundaria,persona,relacion_de_parentesco_40,entrevistado,sexo,edad_anios,estado_civil,p08nivel,p08curso,idioma_o_lengua_materna,departamento_de_nacimiento,provincia_de_nacimiento,municipio_de_nacimiento,localidad_de_nacimiento,pais_de_nacimiento,ciudad_de_nacimiento,departamento_de_residencia_2010,provincia_de_residencia_2010,municipio_de_residencia_2010,localidad_de_residencia_2010,pais_de_residencia_2010,ciudad_de_residencia_2010,tiempo_de_residencia_anios,condicion_de_actividad,ocupacion_principal,categoria_ocupacional,rama_de_actividad,ocupacion_secundaria,numero_de_miembros_que_trabajan,religion_de_entrevistado,identificacion_con_pueblo_originario,practica_de_q_hoa_y_challa,participacion_en_actividades_de_otb,participacion_en_organizaciones_gremiales,participacion_en_organizaciones_politicas,participacion_en_org_recreativas_y_deportivas,participacion_en_organizaciones_religiosas,participacion_en_org_culturales_o_folkloricas,percepcion_de_seguridad_del_municipio,lugar_mas_peligroso_o_inseguro,municipio_donde_se_localiza_el_lugar_inseguro,inseguridad_de_parques_plazas_plazuelas_calles_puentes,cual_parque_plaza_o_calle,inseguridad_de_mercados,cual_mercado,inseguridad_de_espacios_deportivos,cual_espacio_deportivo,inseguridad_de_lotes_baldios,dejar_de_frecuentar_por_inseguridad,tipos_de_hechos_mas_frecuentes,lugar_que_le_genera_miedo_cine,cual_cine,lugar_que_le_genera_miedo_universidades,cual_universidad,lugar_que_le_genera_miedo_disc,cual_discoteca_local,lugar_que_le_genera_miedo_tilines_cafe_internet,cual_tilin_o_cafe_internet,percepcion_sobre_seguridad_del_transporte_publico,transporte_publico_inseguro,percepcion_sobre_seguridad_del_barrio,hecho_de_inseguridad_en_el_barrio_en_los_ultimos_12_meses,tipo_de_hecho_ocurrido_100,tipo_de_hecho_ocurrido_101,existencia_el_el_barrio_de_personas_que_cometen_delito,existencia_el_el_barrio_de_inhaladores_de_clefa,existencia_el_el_barrio_de_actividades_pandilleras,nombre_de_las_pandillas,venta_de_drogas_en_el_barrio,hecho_de_violencia_en_los_ultimos_doce_meses,numero_de_veces,tipo_de_hecho,medios_utilizados_en_el_hecho_de_violencia_110,numero_de_personas_que_operaron_el_hecho,lugar_en_que_ocurrio_el_hecho_112,municipio_en_que_ocurrio_el_hecho_113,horario_en_que_ocurrio_el_hecho,acciones_realizadas_ante_el_hecho_115,institucion_a_la_que_acudion,otro_miembro_del_hogar_que_sufrio_hecho_de_violencia,parentesco_con_el_entrevistado,tipo_de_hecho_de_violencia,medios_utilizados_en_el_hecho_de_violencia_120,lugar_en_que_ocurrio_el_hecho_121,municipio_en_que_ocurrio_el_hecho_122,acciones_realizadas_ante_el_hecho_123,grupos_de_edad_de_mayor_propension_a_ser_victimas,caracteristicas_de_las_personas_que_generan_miedo,factores_que_inducen_a_cometer_delitos,institucion_responsable_de_la_seguridad_ciudadana,nivel_de_confianza_en_la_policia,nivel_de_confianza_en_el_gam,nivel_de_confianza_en_la_gobernacion,nivel_de_confianza_en_las_empresas_de_seguridad_privada,nivel_de_confianza_en_la_seguridad_vecinal_ot_bs,conocimiento_de_la_ley_integral_348,conocimiento_de_la_ley_264,conocimiento_de_la_ley_1008,conocimiento_de_la_ley_263,conocimiento_del_codigo_del_nino,conocimiento_de_la_ley_259,se_informa_por_medios_televisivos,medio_televisivo_por_el_que_se_informa,se_informa_por_medios_radiales,medio_radial_por_el_que_se_informa,se_informa_por_medios_escritos,medio_escrito_por_el_que_se_informa,se_informa_por_redes_sociales_o_internet,red_sociall_por_la_que_se_informa,principal_medio_por_el_que_se_entera_de_campanas_de_prevension,estrategias_utilizadas_para_prevenir_la_inseguridad_148,estrategias_utilizadas_para_prevenir_la_inseguridad_149,proteccion_de_la_vivienda_1,proteccion_de_la_vivienda_cerco_electrico,proteccion_de_la_vivienda_camaras_alarmas_portero_electronico,proteccion_de_la_vivienda_seguridad_privada,proteccion_de_la_vivienda_tener_perros,proteccion_de_la_vivienda_seguro_contra_robo,estrategias_para_porteger_la_vivienda,caracteristica_del_lugar_al_que_se_cambio_o_cambiaria,estrategias_uso_de_instrumentos_para_alertar_158,estrategias_uso_de_camaras_de_vigilancia,estrategias_carteles_inscripciones_en_la_pared,estrategias_munecos_colgados,estrategias_vigilancia_policial,estrategias_guardias_privados,estrategias_vigilancia_comunitaria_o_barrial,estrategias_cercar_el_barrio,estrategias_uso_de_instrumentos_para_alertar_166,estar_de_acuerdo_con_el_linchamiento,estar_de_acuerdo_con_la_pena_de_muerte,estar_de_acuerdo_con_la_castracion,estar_de_acuerdo_con_bloquear_caminos,estar_de_acuerdo_con_manifestaciones,estar_de_acuerdo_con_prohibir_ingreso_de_personas_ex,sentimiento_respecto_al_barrio,espacio_en_el_barrio_que_mas_frecuentan_los_vecinos,relacionamiento_con_los_vecinos_por_la_inseguridad
255,cm06,15,Cochabamba,4,NA,Villa Alamos,Vivienda independiente,Casa independiente,Propia,5.0,0,Jefe(a) de Hogar,Entrevistado,Mujer,34.0,Casado(a),Secundaria,6,Castellano,La Paz,Murillo,La Paz,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Labores de casa y trabajó,Empleada Doméstica,“Cuenta propia”,Limpieza,Ninguna,1,Jefe(a) de Hogar,Entrevistado,Mujer,34.0,Casado(a),Secundaria,6,Castellano,La Paz,Murillo,La Paz,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Labores de casa y trabajó,Empleada Doméstica,“Cuenta propia”,Limpieza,Ninguna,2,Católica,Quechua,Si,Si,No,No,No,No,No,Depende de la zona,"Zona Sud, Jaihuayco",Cochabamba,Si,Puente Killman,Si,La Pampa,Si,En el barrio,Si,Si,Robo o asalto,No,NA,No,NA,Si,Final Av. D´orbigni,No,NA,Inseguro,Micro,Seguro,No,NA,NA,No,No,No,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Todos,No podria identificar,Falta de dinero y trabajo,"1.	Policía,  Módulo  Policial, FELCC, FELCV, EPI, Radio Patrulla",Poco,Ninguna,Ninguna,Mas o menos,Mas o menos,"Algo, muy poco",No,Si,No,"Algo, muy poco","Algo, muy poco",Si,ATB,Si,CENTRO,Si,GENTE,Si,Diarios en Digital,Medios televisivos,No salir a altas horas de la noche y/o no salir solo,No tomar taxi en la calle,No,No,No,Si,No,No,No,Condominio cerrado,Si,No,No,No,No,No,Si,No,Si,No,Cuando es necesario,Si,Si,Si,Si,Muy pocas personas saben quién soy,"Plazas, plazuelas",Mayor aislamiento con los vecinos
256,cm06,16,Cochabamba,4,NA,Villa Alamos,Edificio de Departamentos,Departamento,Propia,4.0,0,Jefe(a) de Hogar,Entrevistado,Mujer,29.0,Conviviente,Universitario,4,Castellano,Oruro,Cercado,Oruro,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Labores de casa y trabajó,Enfermera,“Empleado”,Servicios de salud,Ninguna,1,Jefe(a) de Hogar,Entrevistado,Mujer,29.0,Conviviente,Unversitario,4,Castellano,Oruro,Cercado,Oruro,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Labores de casa y trabajó,Enfermera,“Empleado”,Servicios de salud,Ninguna,2,Católica,Quechua,Ocasionalmente,Si,No,No,No,No,No,Depende de la zona,Zona Sud,Cochabamba,Si,En el barrio,Si,La Cancha,Si,Coña Coña,Si,"No, porque necesita frecuentar",Agresión física,No,NA,No,NA,Si,Todos,Si,En el Barrio,Inseguro,Taxi,Inseguro,Si,Robo,Peleas callejeras,Si,No,Si,No sabe,Si,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Niños y  Adolescentes,Manera de vestir y andar,Malas influencias y maltrato en sus hogares,"1.	Policía,  Módulo  Policial, FELCC, FELCV, EPI, Radio Patrulla",Poco,Bastante,Bastante,Mucha,Bastante,Si,Si,Si,Si,Si,Si,Si,UNITEL,Si,FIDES,Si,LOS TIEMPOS,Si,FACEBOOK,Ninguno,No tomar taxi en la calle,Comprar armas,No,No,No,No,Si,No,No,Condominio cerrado,Si,No,No,No,Si,No,Si,No,No,Si,Si,Si,Si,Si,Si,Me siento identificado con mi barrio,Parques,Mayor relacionamiento
257,cm06,17,Cochabamba,4,NA,Villa Alamos,Vivienda independiente,Habitaciones sueltas,Anticrético,1.0,0,Jefe(a) de Hogar,Entrevistado,Hombre,52.0,Divorciado(a),Secundaria,3,Castellano,Tarija,Gran Chaco,Yacuiba,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Labores de casa y trabajó,Mantenimiento,“Cuenta propia”,Servicios,Ninguna,1,Jefe(a) de Hogar,Entrevistado,Hombre,52.0,Divorciado(a),Secundaria,5,Castellano,Tarija,Gran Chaco,Yacuiba,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Labores de casa y trabajó,Mantenimiento,“Cuenta propia”,Servicios,Ninguna,1,Católica,Quechua,No,No,No,No,No,No,No,Inseguro,Zona Sud,Cochabamba,Si,Plaza por la Av. Beijing,Si,La Pampa,No,NA,Si,Si,Robo o asalto,No,NA,No,NA,Si,Todas,No,NA,Inseguro,Micro,No sabe,Si,Robo,Asalto,No sabe,No sabe,No sabe,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Todos,"Por su actitud, que vengan de manera rara",El alcohol,Todas,Poco,Mas o menos,No sabe o no conoce,Ninguna,Ninguna,No,No,"Algo, muy poco","Algo, muy poco","Algo, muy poco","Algo, muy poco",Si,UNITEL,No,NA,Si,LA VOZ,No,NA,Medios televisivos,"Evitar calles vacías, lotes baldíos",No salir a altas horas de la noche y/o no salir solo,No,No,No,No,Si,No,No,Barrio o urbanización cerrada,No,No,No,No,No,No,No,No,Si,Si,Si,Si,Si,Si,No,No tengo ninguna relación con los vecinos,Calles,Nunca tuve relación con los vecinos
258,cm06,2,Cochabamba,4,NA,Villa Alamos,Vivienda independiente,Casa independiente,Propia,2.0,0,Jefe(a) de Hogar,Entrevistado,Hombre,58.0,Viudo(a),Secundaria,6,Quechua,Cochabamba,Cercado,Cochabamba,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Tenía trabajo,Chapero,“Cuenta propia”,Chapería y pintura para a,Ninguna,1,Jefe(a) de Hogar,Entrevistado,Hombre,58.0,Viudo(a),Secundaria,6,Quechua,Cochabamba,Cercado,Cochabamba,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Tenía trabajo,Chapero,“Cuenta propia”,Chapería y pintura para autos,Ninguna,2,Católica,Quechua,Ocasionalmente,No,Si,No,No,No,No,Inseguro,Zona Sud,Cochabamba,Si,Laguna Coña Coña,Si,"Av. San Martín, La Pampa",Si,Estadium Félix Capriles,Si,"No, porque necesita frecuentar",Robo o asalto,No,NA,Si,UMSS,Si,"Local ""Las Rejas""",Si,En el barrio,Inseguro,Taxi,Seguro,Si,Robo,Peleas callejeras,Si,Si,Si,"""Los Latinos y ""Los Chicos de tu Hermana""",Si,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Hijo(a),Agresión física,"Golpes, patadas, puñetes",OTB Villa Alamos,Cercado,Acudir a un abogado,Todos,"Personas de caracter fuerte, no saben respetar y son vulgares","Falta de empleo, poca capacitación del estado a los estudiantes, poca oferta de trabajo","1.	Policía,  Módulo  Policial, FELCC, FELCV, EPI, Radio Patrulla",Mas o menos,Ninguna,Ninguna,Ninguna,Mas o menos,"Algo, muy poco",No,"Algo, muy poco","Algo, muy poco",No,No,Si,UNITEL,Si,FIDES,Si,GENTE,No,NA,Medios televisivos,No salir a altas horas de la noche y/o no salir solo,"Evitar calles vacías, lotes baldíos",Si,No,No,No,Si,No,Si,Barrio o urbanización cerrada,Si,No,No,No,Si,No,No,No,Si,Cuando es necesario,Si,Si,Si,Si,Si,Me siento identificado con mi barrio,Canchas deportivas,Mayor relacionamiento
259,cm06,3,Cochabamba,4,NA,Villa Alamos,Vivienda independiente,Habitaciones sueltas,Anticrético,3.0,0,Jefe(a) de Hogar,Entrevistado,Mujer,43.0,Divorciado(a),Secundaria,6,Quechua,Cochabamba,Punata,Punata,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Labores de casa y trabajó,Comerciante,“Cuenta propia”,Productos comestibles,Ninguna,1,Jefe(a) de Hogar,Entrevistado,Hombre,43.0,Divorciado(a),Secundaria,6,Quechua,Cochabamba,Punata,Punata,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Labores de casa y trabajó,Comerciante,“Cuenta propia”,Productos comestibles,Ninguna,1,Católica,Ninguno,Si,Si,Si,No,No,Si,No,Depende de la zona,Zona Sud,Cochabamba,Si,Plaza San Sebastián,Si,San Antonio,Si,Coña Coña,Si,Si,Robo o asalto,No,NA,No,NA,Si,Av. Tadeo Haenke,Si,En el barrio,Inseguro,Taxi,No sabe,Si,Robo,Asalto,No sabe,No sabe,No sabe,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Hijo(a),Robo o asalto,Armas blancas,OTB Villa Alamos,Cercado,Alertar al barrio,Jóvenes,Drogados o que parezcan pandilleros,La propacación de la delincuencia,"1.	Policía,  Módulo  Policial, FELCC, FELCV, EPI, Radio Patrulla",Ninguna,Mas o menos,Ninguna,Ninguna,Mas o menos,No,No,No,No,No,No,Si,UNITEL,No,NA,Si,LA VOZ,No,NA,Medios televisivos,No salir a altas horas de la noche y/o no salir solo,No tomar taxi en la calle,No,No,No,No,Si,No,No,Condominio cerrado,Si,No,No,No,No,No,Si,No,No,No,Si,Si,Si,Si,Si,Muy pocas personas saben quién soy,Canchas deportivas,Nunca tuve relación con los vecinos
260,cm06,5,Cochabamba,4,NA,Villa Alamos,Vivienda independiente,Habitaciones sueltas,Alquilada,1.0,0,Jefe(a) de Hogar,Entrevistado,Hombre,26.0,Soltero(a),Universitario,4,Castellano,Cochabamba,Cercado,Cochabamba,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Estudió y labores de casa,NA,NA,NA,NA,1,Jefe(a) de Hogar,Entrevistado,Hombre,26.0,Soltero(a),Unversitario,4,Castellano,Cochabamba,Cercado,Cochabamba,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Estudió y labores de casa,NA,NA,NA,NA,0,Católica,Ninguno,No,No,No,No,No,No,No,Inseguro,Zona Sud,Cochabamba,Si,Parque La Torre,Si,La Cancha,No,NA,Si,"No, porque necesita frecuentar",Robo o asalto,No,NA,No,NA,Si,Local Doña Bety,No,NA,Inseguro,Taxi,Inseguro,No sabe,NA,NA,No sabe,Si,No sabe,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Hermano(a),Robo o asalto,"Golpes, patadas, puñetes",Zona Sud,Cercado,Ninguna,Jóvenes,Marcas en la cara y actitud sospechosa,Falta de empleo,"1.	Policía,  Módulo  Policial, FELCC, FELCV, EPI, Radio Patrulla",Ninguna,Poco,Ninguna,Mas o menos,Mas o menos,"Algo, muy poco",No,Si,"Algo, muy poco",No,Si,Si,UNITEL,No,NA,Si,LA VOZ,Si,Blog de Los Tiempos,Medios televisivos,No salir a altas horas de la noche y/o no salir solo,No tomar taxi en la calle,No,No,No,No,No,No,No,Barrio o urbanización cerrada,No,No,No,No,No,No,No,No se puede,Si,Si,Si,No,Si,No,No,No tengo ninguna relación con los vecinos,"Plazas, plazuelas",Nunca tuve relación con los vecinos
261,cm07,1,Cochabamba,3,NA,Villa Busch Norte,Vivienda independiente,Casa independiente,Propia,4.0,0,Jefe(a) de Hogar,NA,Hombre,43.0,Casado(a),Secundaria,6,Castellano,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,NA,NA,NA,España,Madrid,11.0,Tenía trabajo,Empledo,“Empleado”,Servicios,Ninguna,2,Hijo(a),Entrevistado,Hombre,18.0,Soltero(a),Secundaria,6,Castellano,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,NA,NA,NA,España,Madrid,11,Atendió o ayudó en un negocio propio o familiar,Comerciante,“Trabajador Familiar no remunerado o aprendiz”,Productos comestibles,Ninguna,2,Católica,Ninguno,Ocasionalmente,No,No,No,Si,No,No,Seguro,Zona Sud,Cochabamba,Si,Parque Mariscal,Si,Calatayud,No,NA,Si,Si,Robo o asalto,No,NA,No,NA,Si,Las Cañas (Km. de la B. Galindo),No,NA,Inseguro,Trufi,Seguro,Si,Robo,NA,No sabe,No,No sabe,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Niños y  Adolescentes,"Los maleantes, rateros y drogadictos",Las drogas,"1.	Policía,  Módulo  Policial, FELCC, FELCV, EPI, Radio Patrulla",Mas o menos,Ninguna,Poco,Mucha,Bastante,No,No,No,No,No,No,Si,UNITEL,No,NA,Si,LOS TIEMPOS,No,NA,Medios televisivos,"Ninguna de las anteriores, nada",NA,Si,No,No,No,No,No,No,No se cambiaría,Si,No,No,No,No,No,Si,No,No,No,Cuando es necesario,Si,Cuando es necesario,Si,No,Muy pocas personas saben quién soy,"Plazas, plazuelas",Nunca tuve relación con los vecinos
262,cm07,13,Cochabamba,3,NA,Villa Busch Norte,Vivienda independiente,Habitaciones sueltas,Propia,4.0,0,Jefe(a) de Hogar,Entrevistado,Hombre,63.0,Casado(a),Secundaria,6,Castellano,Potosí,Rafael Bustillo,Uncía,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Tenía trabajo,Técnico de vectores,“Empleado”,SEDES,Ninguna,1,Jefe(a) de Hogar,Entrevistado,Hombre,63.0,Casado(a),Secundaria,6,Castellano,Potosí,Rafael Bustillo,Uncía,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Tenía trabajo,Técnico de vectores,“Empleado”,SEDES,Ninguna,2,Católica,Ninguno,Ocasionalmente,Si,No,No,No,Si,No,Depende de la zona,Villa Pagador,Cochabamba,Si,Av. Aroma,Si,La Pampa,No,NA,No,Si,Agresión sexual,No,NA,Si,UMSS,Si,Todos,Si,NA,Inseguro,Taxi,Inseguro,Si,Robo,Asalto,No,No,No,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Todos,"Cleferos, en nada ni en nadie se puede confiar","Flojera de trabajar, buscan lo fácil","1.	Policía,  Módulo  Policial, FELCC, FELCV, EPI, Radio Patrulla",Poco,Poco,No sabe o no conoce,No sabe o no conoce,Ninguna,No,No,Si,Si,Si,Si,Si,ATB,Si,PIO XXII,No,NA,No,NA,Medios radiales,No salir a altas horas de la noche y/o no salir solo,"Ninguna de las anteriores, nada",Si,No,No,No,Si,No,No,No se cambiaría,Si,No,Si,No,Si,No,No,No,No,No,Cuando es necesario,Si,Si,No,No,Me siento identificado con mi barrio,Calles,Mayor relacionamiento
263,cm07,14,Cochabamba,3,NA,Villa Busch Norte,Vivienda independiente,Habitaciones sueltas,Alquilada,5.0,0,Jefe(a) de Hogar,Entrevistado,Hombre,40.0,Casado(a),Universitario,5,Castellano,Potosí,Rafael Bustillo,Llallagua,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Tenía trabajo,Bioquímico,“Empleado”,Servicios de salud,Ninguna,1,Jefe(a) de Hogar,Entrevistado,Hombre,40.0,Casado(a),Unversitario,5,Castellano,Potosí,Rafael Bustillo,Llallagua,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Tenía trabajo,Bioquímico,“Empleado”,Servicios de salud,Ninguna,1,Ninguna,Quechua,Ocasionalmente,Si,No,No,Si,No,No,Inseguro,Zona Sud,Cochabamba,Si,Plaza San Sebastián,Si,La Cancha,No,NA,Si,Si,Robo o asalto,No,NA,No,NA,Si,Av. Blanco Galindo,Si,En el barrio,Inseguro,Trufi,Seguro,Si,Homicidio,Robo,Si,No,Si,No sabe,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Otro no pariente (del hogar),Robo o asalto,Ninguno,La Cancha,Cercado,Llamar a un pariente,Adultos mayores,"Cleferos, forma de vestir","Descuido de los padre, carecen de atención y empiezan a delinquir desde pequeños",Todas,Poco,Poco,Poco,Poco,Ninguna,Si,No,Si,Si,Si,"Algo, muy poco",Si,UNITEL,No,NA,Si,LOS TIEMPOS,Si,Blog de Los Tiempos,Medios televisivos,No salir a altas horas de la noche y/o no salir solo,Otros,Si,No,No,No,Si,No,No,Edificio de departamentos,Si,Si,No,Si,Si,No,No,No,Si,No,No,Cuando es necesario,No,Si,No,Muy pocas personas saben quién soy,Canchas deportivas,Mayor relacionamiento
264,cm07,18,Cochabamba,3,NA,Villa Busch Norte,Vivienda independiente,Casa independiente,Propia,3.0,0,Jefe(a) de Hogar,Entrevistado,Hombre,42.0,Casado(a),Secundaria,6,Quechua,Cochabamba,Cercado,Cochabamba,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Tenía trabajo,Taxista,“Empleado”,Transporte,Ninguna,1,Jefe(a) de Hogar,Entrevistado,Hombre,42.0,Casado(a),Secundaria,6,Quechua,Cochabamba,Cercado,Cochabamba,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Tenía trabajo,Taxista,“Empleado”,Transporte,Ninguna,1,Católica,Ninguno,Si,Si,No,No,No,No,No,Inseguro,Villa Pagador,Cochabamba,Si,Plaza San Sebastián,Si,La Pampa,No,NA,Si,No,Robo o asalto,No,NA,No,NA,Si,Av. Blanco Galindo,No,NA,Inseguro,Taxi,Seguro,No,NA,NA,No,No,No,NA,No sabe,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Jóvenes,"Personas con marcas en la piel, en el rostro y que tienen una actitud sospechosa","Dinero fácil, es un vicio","1.	Policía,  Módulo  Policial, FELCC, FELCV, EPI, Radio Patrulla",Ninguna,Ninguna,Ninguna,Poco,Poco,Si,No,Si,No,Si,No,Si,ATB,No,NA,Si,LA VOZ,No,NA,Medios televisivos,"Evitar calles vacías, lotes baldíos",No salir a altas horas de la noche y/o no salir solo,Si,No,Si,No,Si,No,No,No se cambiaría,Si,No,No,Si,Si,No,No,No,No,Si,Si,Si,Si,No,No,Muy pocas personas saben quién soy,Canchas deportivas,Mayor relacionamiento
265,cm07,22,Cochabamba,3,NA,Villa Busch Norte,Vivienda independiente,Habitaciones sueltas,Alquilada,2.0,0,Jefe(a) de Hogar,Entrevistado,Mujer,31.0,Soltero(a),Universitario,6,Castellano,Cochabamba,Cercado,Cochabamba,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Labores de casa y trabajó,Cajera de un Banco,“Empleado”,Servicios bancarios,Ninguna,1,Jefe(a) de Hogar,Entrevistado,Mujer,31.0,Soltero(a),Unversitario,6,Castellano,Cochabamba,Cercado,Cochabamba,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Labores de casa y trabajó,Cajera en un Banco,“Empleado”,Servicios bancarios,Ninguna,2,Evangélica,Ninguno,No,Si,No,No,No,No,No,Inseguro,Coronilla,Cochabamba,Si,Pasarelas  de la Av. Blanco Galindo,Si,Av. San Martín,No,NA,Si,Si,Robo o asalto,No,NA,No,NA,Si,En el barrio,No,NA,Inseguro,Micro,Seguro,No,NA,NA,No,No,No sabe,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Todos,"Como se conportan, personas borrachas que salen de los locales","Alcohol y drogas, falta de empleos",Todas,Poco,Ninguna,Ninguna,Poco,Poco,Si,Si,"Algo, muy poco","Algo, muy poco",Si,"Algo, muy poco",Si,ATB,No,NA,Si,LOS TIEMPOS,No,NA,Medios televisivos,"Evitar calles vacías, lotes baldíos",No tomar taxi en la calle,Si,No,Si,No,Si,No,No,No se cambiaría,Si,No,No,No,Si,No,No,No,Si,No,No,No,Si,Si,Si,Me siento identificado con mi barrio,"Plazas, plazuelas",Mayor relacionamiento
266,cm07,24,Cochabamba,3,NA,Villa Busch Norte,Vivienda independiente,Habitaciones sueltas,Alquilada,1.0,0,Jefe(a) de Hogar,Entrevistado,Hombre,23.0,Soltero(a),Universitario,4,Castellano,Cochabamba,Ayopaya,Cliza,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Estudió y labores de casa,NA,NA,NA,NA,1,Jefe(a) de Hogar,Entrevistado,Hombre,23.0,Soltero(a),Unversitario,4,Castellano,Cochabamba,Ayopaya,Cliza,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Estudió y labores de casa,NA,NA,NA,NA,0,Católica,Otro,No,No,No,No,No,No,No,Depende de la zona,Zona el Aeropuerto,Cochabamba,Si,Av. Aroma,Si,Av. San Martín,No,NA,Si,No,Robo o asalto,No,NA,No,NA,Si,Av. América Oeste,No,NA,Inseguro,Taxi,Seguro,No,NA,NA,No,No,No sabe,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Jóvenes,Jóvenes mal vestidos,Flojera y aveces necesidad,"1.	Policía,  Módulo  Policial, FELCC, FELCV, EPI, Radio Patrulla",Poco,Poco,Poco,Mas o menos,Poco,No,No,"Algo, muy poco",No,No,No,Si,RED UNO,No,NA,No,NA,Si,FACEBOOK,"Redes sociales, Internet",No salir a altas horas de la noche y/o no salir solo,Comprar armas,No,No,No,No,No,No,No,No se cambiaría,Si,No,No,No,No,No,No,No,No,Si,Si,Si,No,No,No,Muy pocas personas saben quién soy,"Plazas, plazuelas",Mayor relacionamiento
